NUM_ITERATIONS,MEM_LIMIT,HASH_LENGTH,NUM_THREADS,SALT,HASH,TIME
4,10240,32,1,8442c19363f146922edb2aa79a1f1430,e99b569595a329e89709e758404156b1ba486cd9090d84ea2ba7406a47dce329,415
5,10240,32,1,b6e44ce4709f7abf18253ff407a30b53,30597663041d0fed838bc6f75c34b1104946e6ce5eb3295c44d762c9f0cd1ab3,443
6,10240,32,1,79ee414e72b192852c9af08c9d17d64b,50017fc3c19adc3af4d3ec61338fe436312d589b54379128926aa2fc20a37810,533
7,10240,32,1,d7a1881072313516cd8637fadb6f7663,511afbadda7c1f12501de03d6c05c7e5d0a252cdc6b3df809091f8e54622e480,634
8,10240,32,1,39e5ae3aecf6d7a867a8be07cc452a2c,6e2972cf6cca778ea0ffaa900c473f07064910553be164f7c3540e7cd9c28356,696
9,10240,32,1,bb693d114bffb4d5113c1cfc11a4e4af,1446a167cebac372a4d5007f94d9113b85c5318a8f1ab19d8dc31cc9615b2d7a,797
10,10240,32,1,a29f7e6b0cfe5c1a5b23b35f040d7b10,a91f909fcfa934ef6be28f9f5799c13af37ff7669ab78568958ffb5f61b09a98,909
11,10240,32,1,7d820d7016fd0db4113d71ddba2c6135,a2371295717be48b6d5e637b162f35a31100df92d33fe231a7c973455b7fbf6c,946
12,10240,32,1,ad2cc9d5c1ee2304d4bca32d25a2a798,4b3cf30cbc63926ff29acecb466e89f4ca60f548d658b877377c5dab5257e50c,1067
13,10240,32,1,f1bbf38b41f05b4b0b9b9833eda5d60c,7418daf69ee1fff1f09c0ab044081209826797ba96d659df16cbe4edf82e33d3,1177
14,10240,32,1,f96b53bd4a50aef00c7d9dfdaa0dae18,a7b66be6b2f34ae5197f9734cb2c9d170b40869d8fc52b9911845f09b15df784,1203
15,10240,32,1,932c703debb25d053784ab971f3f617c,75971e42e149c1acbf514222011928b261f834d8cf5ffa17cb6e0af3e94cc85d,1321
16,10240,32,1,87ee866e10df0de5d6f13cc95ebe7cb3,2aa4679bf657722e69a18d8cbbff46658233f194a31a8a09ab6c9d40e35a4f51,1436
17,10240,32,1,cddedcbb77d315f5e6aeacaf7c2f4bee,70e9ba14dd70ab88870767b2df41e363f77524ad52803408147897d17316ad9e,1469
18,10240,32,1,d5e99428f767e3ae16c5fe91269d7fdb,a8c51ebb116b32b2bab2c99b8bbfe300bc3a1b0d30f1cd4ce33c28c21fa22188,1600
19,10240,32,1,0108ade10ce98131bf2ba64b926c818e,878ca6d22dc05666bcf032782bf52e9b384dc3f8e243f15fdb3a9e97da9e5636,1696
20,10240,32,1,c3ca46269e7b87a1c5e2dc670fd1aef1,bef30ff93bc4153bb3f40088ad0d8d6179ece30e591586b694059f6550b2a034,1727
21,10240,32,1,420827f832c45ff2f9100e97a86dd431,6fb98c0265a51181df6cb1670deb5ae8309316f4bc6b0c79d5c04d5219b4174e,1853
22,10240,32,1,d3c5f069bf3927c9a02c939d57e63c3e,8e3c989cad65b5af56a0a8fec41bf1857366ace871b733cc489c963a5257f98c,1963
23,10240,32,1,232347c0519eef09f473889a515eaac4,ec3bbe8328fab064e6c3cd5c9768f02edc58413ce313aea64c270b07fda9d4cf,1993
24,10240,32,1,c987d55ffb5cdedf7656a815b62456fb,f36b206851383874aa1065f435724ee2d7f9940d822bf19ae726d9f1446d48b1,2126
25,10240,32,1,6dc0cc76550b7bc00af233c891611b70,a7adde537b0309dbf0e6e5a92b76cc9c831a93b1f3e3daeb4d6c0321f15e51eb,2237
26,10240,32,1,3f247c38b2367bcbb3e05d5de2adf183,2c4f455ae15e1201344e6e160be96be1ad048781db219e0e51d71ae0e0c8ba23,2271
27,10240,32,1,82313daddf2f04f5e83ed282d7f4e483,c9bf6af8dba05584d3e525ced6c43f02b5d5feb9662db5228dcff3325196a023,2370
28,10240,32,1,160a53ac69f63dc43d9005d5aca87a04,e54e99a8a14126298986936d72599c13a61844b21f0de61d78209f68dbad80ac,2499
29,10240,32,1,e19992d552131c0e6fc78e2f0708be8f,ddc0a08c63cf53697ca38cf7c600eea568797b02966fc32dec8549c202be2074,2508
30,10240,32,1,53209cebe91e945227cd84d39442453b,b8a9883e5888a257dea9b7e4466dcb15fa2b68283b613d7b23ca6a3105ab9012,2646
31,10240,32,1,22c699bd021a654f4033dac752f2289d,5c582b858a760a41ca3e122c4620ce4d78be1a50d5acae03fb87211f7112d28c,2780
4,20480,32,1,0998883c562eb1f7e9c0e89e4c288516,3cd57646082488a37ea5e8324cec46f68b8a86e2bab22f295b250a9be480981c,740
5,20480,32,1,9ea8913f2b590956b075b158c8ba88e7,6467d7d9402011fd5d83cdfb83597ea544f035c18236a7c7944962672c764406,884
6,20480,32,1,b4260a2f3e52e8f5da414a7955fc04ea,125dee41ae500fe657560c5c1613cf6e0af374dc3ffc9844014595239e0cb264,1082
7,20480,32,1,48d985f232c91fe328b4697093e229fd,b55a7bd6dc48363b6dbca8ad7eaeb713da12af1a3806d403102fdef4a2c53d95,1276
8,20480,32,1,d8b81246fcab1d60d1e9d20cc4c102e8,8813ff567a07bb42a7df3c938238e8c07410f30520b37ba8dfcd144251f9b64b,1406
9,20480,32,1,51f257cdf2a71b352f5c5f3ea4d0874d,97404e307c9cdb61cda29a815161af7dc2e25e9183e9425b801980af852a64ff,1596
10,20480,32,1,a8531c55803e62a096c20700adddb90d,afef0da4ec2c0d60688c5932481abf4cd714e558c6caf2db3a5645f94fe89b1d,1811
11,20480,32,1,8bf73dae5372d2cd23ec12a0c37804c2,2815027b92b8abac83f4e75c563a1799a2cda0475afe5be8baa1957e3a565111,1923
12,20480,32,1,5c9c9e1da637524b795da39485c1af53,b92f560dbe6fa6d5367bf4de83464ee9bc42c429275897878194cefdf11877fc,2074
13,20480,32,1,d4d69fd5bcccf08649fee6a0345d52dd,e0ae373ba7e2de8a07bbd322f4c775850561257bbb4be21ab7bf3bda0911aa94,2367
14,20480,32,1,e8d3d056ced99a063cfda293dbe1344f,4117bd1e52d54d9dc41d8b9c72ca9916d923ef85731a05b0d0d9d00e384bb25d,2447
15,20480,32,1,e1378c125bbf8fc298c0299e39493549,ba8647053d0a30c50edf522783e25897999182ff7b4727e931578a04e21af7f6,2633
16,20480,32,1,efbd50ef0c9216a08d5de8e530cbfb54,9512935b72f888932bf1794e9fcc5f52bcb01c140be08d21c52f2875a078a9e9,2885
17,20480,32,1,2edc24c7750736098fdebcb3af2e3957,66c13822a533a65e4c80d54ca66e7f849240de817952f9afe465085faa4d0058,2949
