WORK_FACTOR,SALT,HASH,TIME
4,1a46bcec7ae41011c24783535362a7b3,6582d08dca006c152b236bb6e6444f32efebb831959222d2,74
5,e7001eab96e8217edc41dddb8d451d41,7deb70f7b6ac9627d2ed1360415a0c4dc063bba8a1d7e85d,11
6,eeae82d2d0c8813d0557f3e324385992,a1ce9c08fef4b75598667c4cdec7c3a7abfe8050a9c9dde5,17
7,e63d9467b87b2eb1856db111eadd6bd4,5467ee30c3ef6e9a4af30a858f92767c1efbeb7d536a88a7,27
8,2b9e6237ba1b7d118da0ac27e33bf6bf,f8ead05c942556cc57102ac44c97f76734a828db092a549b,40
9,94c17f5f3654af820a3204bea174ecc6,5ba8a8e269056ad02eec1097a0a8f20a14447ec249d8a659,62
10,b4be63553d58298462514b00e6a1c8a5,e01e2e126810e3d2e4cceba0a4b553d91d785cf545f13b22,117
11,1d7a09b072d87e9655f36c9ae44d4d13,c3c9af9b1e940af42aedb3dcb5ac5767008d7074e4c54f2a,231
12,cab2097c7fda5a3310d574f6a451993b,380f922b6cac15f50e032937be164fca2c54a5502b1cd9f8,462
13,61e2df97835f5d8f33d3b7af2b499e53,fe5d5f8d8d2283dcede7934e7df49a2091a6649a07d4174b,920
14,0924ef61fd71e9647fc4719e32952249,6fc9d12169e56ba9bac5b759b9dd5ffe951fa8908c87d5f1,1825
15,deca13fd7db0eddcee15e6b03dd4fa88,b9ae7b28c752fb6b0c56e27ba7692dc608b669dd10f444ef,3659
16,f23559be0a763424be97f28ed8f4f781,8ea06a137cfeccc81b282208fae49731e147e05c105bd475,7299
17,c9f45eec1fd2bde9d32e692c800c4e90,19bba971f26c1f01f3093cb56445c71003796db3b8163f24,14602
18,6f0eb84803fccfebc6b75bd3f6ff61bf,8bbd6e4dd9069e69959614a26a824e32b85111d0b582bb15,29221
19,48bc2e3c9164027d9db4c226a5200377,767761b6e37dd7fb64a74a9e21f68a277c234621aa8ea95c,58376
20,9aa8d942e53d31c4f94a9831c575c382,c56d5207915450a79bdfc72f9891809c681f97f0a0ae1deb,116763
21,f7144224e33c985721c75878d7993e7e,ce68a9b55b248395d9c99092e145b772b616102b29d8214d,233505
