Number of Iterations,Memory Limit,Time
4,10240KiB,572.0
5,10240KiB,449.6666666666667
6,10240KiB,547.0
7,10240KiB,642.0
8,10240KiB,702.3333333333334
9,10240KiB,808.3333333333334
10,10240KiB,897.3333333333334
11,10240KiB,946.6666666666666
12,10240KiB,1069.0
13,10240KiB,1163.0
14,10240KiB,1209.3333333333333
15,10240KiB,1323.0
16,10240KiB,1433.0
17,10240KiB,1465.0
18,10240KiB,1589.6666666666667
19,10240KiB,1705.3333333333333
20,10240KiB,1725.6666666666667
21,10240KiB,1865.6666666666667
22,10240KiB,1971.6666666666667
23,10240KiB,1987.3333333333333
24,10240KiB,2120.3333333333335
25,10240KiB,2240.6666666666665
26,10240KiB,2253.6666666666665
27,10240KiB,2391.3333333333335
28,10240KiB,2500.0
29,10240KiB,2494.3333333333335
30,10240KiB,2656.0
31,10240KiB,2777.3333333333335
4,20480KiB,741.3333333333334
5,20480KiB,866.3333333333334
6,20480KiB,1072.3333333333333
7,20480KiB,1278.3333333333333
8,20480KiB,1399.3333333333333
9,20480KiB,1590.0
10,20480KiB,1812.0
11,20480KiB,1926.3333333333333
12,20480KiB,2111.6666666666665
13,20480KiB,2346.6666666666665
14,20480KiB,2438.0
15,20480KiB,2635.6666666666665
16,20480KiB,2865.3333333333335
17,20480KiB,2938.6666666666665
18,20480KiB,3151.0
19,20480KiB,3415.3333333333335
20,20480KiB,3465.6666666666665
21,20480KiB,3692.3333333333335
22,20480KiB,3960.3333333333335
23,20480KiB,3996.0
24,20480KiB,4250.0
25,20480KiB,4505.666666666667
26,20480KiB,4495.333333333333
27,20480KiB,4742.0
28,20480KiB,5039.333333333333
29,20480KiB,5005.0
30,20480KiB,5316.0
31,20480KiB,5567.333333333333
4,30720KiB,1120.0
5,30720KiB,1393.6666666666667
6,30720KiB,1659.6666666666667
7,30720KiB,1942.3333333333333
8,30720KiB,2210.3333333333335
9,30720KiB,2467.3333333333335
10,30720KiB,2751.0
11,30720KiB,3032.6666666666665
12,30720KiB,3310.6666666666665
13,30720KiB,3602.0
14,30720KiB,3837.0
15,30720KiB,4145.333333333333
16,30720KiB,4406.333333333333
17,30720KiB,4691.666666666667
18,30720KiB,4944.0
19,30720KiB,5232.0
20,30720KiB,5487.333333333333
21,30720KiB,5766.333333333333
22,30720KiB,6011.0
23,30720KiB,6317.0
24,30720KiB,6557.333333333333
25,30720KiB,6882.666666666667
26,30720KiB,7151.333333333333
27,30720KiB,7402.666666666667
28,30720KiB,7669.333333333333
29,30720KiB,7940.666666666667
30,30720KiB,8136.0
31,30720KiB,8472.333333333334
4,40960KiB,1496.0
5,40960KiB,1866.6666666666667
6,40960KiB,2229.3333333333335
7,40960KiB,2602.0
8,40960KiB,2968.0
9,40960KiB,3320.6666666666665
10,40960KiB,3676.0
11,40960KiB,4023.3333333333335
12,40960KiB,4368.666666666667
13,40960KiB,4784.0
14,40960KiB,5138.333333333333
15,40960KiB,5447.0
16,40960KiB,5815.0
17,40960KiB,6251.333333333333
18,40960KiB,6611.0
19,40960KiB,6988.666666666667
20,40960KiB,7294.333333333333
21,40960KiB,7705.666666666667
22,40960KiB,8063.0
23,40960KiB,8414.0
24,40960KiB,8767.0
25,40960KiB,9111.333333333334
26,40960KiB,9520.333333333334
27,40960KiB,9876.0
28,40960KiB,10212.666666666666
29,40960KiB,10635.0
30,40960KiB,10974.0
31,40960KiB,11330.0
4,51200KiB,1878.0
5,51200KiB,2328.3333333333335
6,51200KiB,2780.0
7,51200KiB,3244.6666666666665
8,51200KiB,3696.6666666666665
9,51200KiB,4170.333333333333
10,51200KiB,4651.0
11,51200KiB,5060.333333333333
12,51200KiB,5524.0
13,51200KiB,6013.666666666667
14,51200KiB,6463.333333333333
15,51200KiB,6894.0
16,51200KiB,7359.333333333333
17,51200KiB,7837.333333333333
18,51200KiB,8283.333333333334
19,51200KiB,8641.0
20,51200KiB,9164.0
21,51200KiB,9601.666666666666
22,51200KiB,10048.0
23,51200KiB,10572.0
24,51200KiB,11016.666666666666
25,51200KiB,11473.333333333334
26,51200KiB,11665.666666666666
27,51200KiB,12753.0
28,51200KiB,13184.0
29,51200KiB,13318.0
30,51200KiB,13799.666666666666
31,51200KiB,14188.666666666666
