Number of Iterations,Memory Limit,Time,Device
4,10240KiB,207.75,pc
5,10240KiB,76.0,pc
6,10240KiB,96.0,pc
7,10240KiB,103.75,pc
8,10240KiB,117.0,pc
9,10240KiB,130.5,pc
10,10240KiB,144.5,pc
11,10240KiB,155.25,pc
12,10240KiB,167.75,pc
13,10240KiB,181.0,pc
14,10240KiB,192.25,pc
15,10240KiB,212.5,pc
16,10240KiB,227.5,pc
17,10240KiB,234.0,pc
18,10240KiB,247.0,pc
19,10240KiB,266.75,pc
20,10240KiB,278.0,pc
21,10240KiB,285.0,pc
22,10240KiB,300.5,pc
23,10240KiB,318.25,pc
24,10240KiB,332.0,pc
25,10240KiB,339.25,pc
26,10240KiB,352.25,pc
27,10240KiB,369.25,pc
28,10240KiB,378.75,pc
29,10240KiB,393.0,pc
30,10240KiB,407.25,pc
4,20480KiB,116.25,pc
5,20480KiB,149.0,pc
6,20480KiB,171.75,pc
7,20480KiB,199.5,pc
8,20480KiB,226.5,pc
9,20480KiB,256.75,pc
10,20480KiB,290.25,pc
11,20480KiB,317.75,pc
12,20480KiB,350.75,pc
13,20480KiB,374.5,pc
14,20480KiB,402.5,pc
15,20480KiB,429.5,pc
16,20480KiB,454.75,pc
17,20480KiB,485.5,pc
18,20480KiB,509.0,pc
19,20480KiB,541.75,pc
20,20480KiB,566.0,pc
21,20480KiB,604.75,pc
22,20480KiB,630.25,pc
23,20480KiB,663.0,pc
24,20480KiB,686.0,pc
25,20480KiB,763.0,pc
26,20480KiB,744.0,pc
27,20480KiB,766.0,pc
28,20480KiB,800.0,pc
29,20480KiB,823.5,pc
30,20480KiB,849.5,pc
4,30720KiB,178.25,pc
5,30720KiB,225.25,pc
6,30720KiB,273.25,pc
7,30720KiB,316.75,pc
8,30720KiB,352.5,pc
9,30720KiB,429.5,pc
10,30720KiB,456.25,pc
11,30720KiB,486.0,pc
12,30720KiB,530.75,pc
13,30720KiB,575.75,pc
14,30720KiB,617.25,pc
15,30720KiB,666.75,pc
16,30720KiB,700.0,pc
17,30720KiB,739.25,pc
18,30720KiB,794.75,pc
19,30720KiB,831.75,pc
20,30720KiB,866.0,pc
21,30720KiB,908.75,pc
22,30720KiB,951.5,pc
23,30720KiB,1005.75,pc
24,30720KiB,1058.75,pc
25,30720KiB,1115.75,pc
26,30720KiB,1179.0,pc
27,30720KiB,1201.25,pc
28,30720KiB,1271.5,pc
29,30720KiB,1278.25,pc
30,30720KiB,1310.75,pc
4,40960KiB,260.75,pc
5,40960KiB,303.0,pc
6,40960KiB,370.0,pc
7,40960KiB,449.0,pc
8,40960KiB,491.5,pc
9,40960KiB,551.75,pc
10,40960KiB,617.0,pc
11,40960KiB,658.0,pc
12,40960KiB,717.5,pc
13,40960KiB,778.75,pc
14,40960KiB,828.5,pc
15,40960KiB,889.25,pc
16,40960KiB,954.5,pc
17,40960KiB,1028.25,pc
18,40960KiB,1083.25,pc
19,40960KiB,1158.75,pc
20,40960KiB,1203.5,pc
21,40960KiB,1249.75,pc
22,40960KiB,1337.75,pc
23,40960KiB,1402.0,pc
24,40960KiB,1423.25,pc
25,40960KiB,1505.5,pc
26,40960KiB,1563.25,pc
27,40960KiB,1644.5,pc
28,40960KiB,1703.0,pc
29,40960KiB,1713.75,pc
30,40960KiB,1811.25,pc
4,51200KiB,180.75,pc
5,51200KiB,224.75,pc
6,51200KiB,272.75,pc
7,51200KiB,313.5,pc
8,51200KiB,360.5,pc
9,51200KiB,401.25,pc
10,51200KiB,451.0,pc
11,51200KiB,493.75,pc
12,51200KiB,533.0,pc
13,51200KiB,579.25,pc
14,51200KiB,628.5,pc
