Work Factor,Time,Device
4,153.33333333333334,pc
5,3.3333333333333335,pc
6,6.0,pc
7,13.333333333333334,pc
8,19.333333333333332,pc
9,37.666666666666664,pc
10,75.66666666666667,pc
11,152.33333333333334,pc
12,309.3333333333333,pc
13,632.0,pc
14,1241.3333333333333,pc
15,2493.3333333333335,pc
16,4787.333333333333,pc
17,9707.666666666666,pc
18,19437.333333333332,pc
19,38291.0,pc
20,76907.66666666667,pc
21,150753.0,pc
22,301768.0,pc
4,53.333333333333336,android
5,13.0,android
6,15.333333333333334,android
7,24.0,android
8,37.666666666666664,android
9,63.333333333333336,android
10,122.0,android
11,242.66666666666666,android
12,465.6666666666667,android
13,916.6666666666666,android
14,1836.3333333333333,android
15,3693.3333333333335,android
16,7323.0,android
17,14638.333333333334,android
18,29196.333333333332,android
19,58370.0,android
20,116816.66666666667,android
21,233537.33333333334,android
