NUM_ITERATIONS,MEM_LIMIT,HASH_LENGTH,NUM_THREADS,SALT,HASH,TIME
4,10240,32,1,4bd55414fa890c6064c19a4c66d33310,7abba377e85c2308c2513f42fd0d41c6094f7ca60f2f900f9e3040a52d45716b,195
5,10240,32,1,25528118f70106d8b1acc1b5116b9607,120b89d2d9fcb5846b32fc16ad1890284a3628356bfed59a321b69f3841ca7f9,31
6,10240,32,1,aac5a1237ab7f737707f4625c4b8f824,dec8bbe88f9c29b49e5ee9ae8fcf7e371c0bbb81c71948830a271c2f8e8579df,39
7,10240,32,1,9dc6f7cbf7af7e27ff32904cdb9a9370,7798794df705e9f36b28d5a5b0efc10b16cc0b3e5b60d164bf795455866090d1,35
8,10240,32,1,30126fa90a1c39c55ca6800c065b2951,47599fd1ba1ccafd3c808486770465217b436f147042a17155f1005dccd7f215,40
9,10240,32,1,d93cbe4eb1d9b89a83185a4be516d3bc,d7d71ae605b348ee2880889ebacec1888a4c41a3476139a6c3b3f0ee45e31c45,43
10,10240,32,1,93e9f7d6160fc93d487683288d01e8ad,3e7052f4e7fbd2f4cb770725bda1dcd52316e5cf0ab25f4e035acd1fb13a502a,47
11,10240,32,1,00e161da6d273d4ee1568feb30b792a1,f7449b05d2e1550ed1e54ce271b10688e96e402354276896a5973c6e178dc366,53
12,10240,32,1,977767b41c797a6d406a837f021de0f3,12128f6b3530cf03b361ef415b2cc62df0e16c14df5288fefa09b9eee2219332,56
13,10240,32,1,b3257a59b77ad3c887f237c9248d50cb,9f295a78c05807f827b9f549e26e79588dd37e6f6f5af926e30111b048fedf9b,61
14,10240,32,1,f4c7dc9ab5ad32902e91f5253cb5b163,78b7844fa9fdeccfb9073522baa33887201c8351e745042f94a417f73be12d06,65
15,10240,32,1,260bd7c0a864378fedb89c59f87ec854,8869858da3fee84369373e62cb281ad7fb684b0095de0c19d056b987a676fae8,70
16,10240,32,1,ba29917400ea9dd9d8adbdffeec18aaa,7196bc8286718faed1e635e9f9184926a0aae1a94462ed4e1bdea7edc9e48a2d,76
17,10240,32,1,20f73f1b34e718ebd59f15de766ea2a7,48fcaf32b3a984f71f2c3b8d405a06edc602ca63f0c6d9c2626a402c82bf65de,80
18,10240,32,1,16586ea25eb2fbd25fc212935cc7829b,f7b8e1563faea2bc83e3b685bab03ff6b326a1308d17025ad06b513c90aa6628,84
19,10240,32,1,7163ed9b34cd3cfff404f8a29f5e4fe2,1bf1f0320d53701e80c73c6fdddeaf27e15d1ff65486d72a3f56e2bfaeab36cf,87
20,10240,32,1,8ede7e7958cbef1908bf143663124ccd,f00b22a6928f4539afa336021464bb003b5ec45346b045e590994256ad030a6d,95
21,10240,32,1,129d606b642325fa6e760eb0f21beaf6,321a001f4573d36b60cd540fe296d1cec37ba1a7d4fd62e3e9d059752aa182d8,96
22,10240,32,1,e439dc092a2a18c02199f798452271d8,7e9fc290901eb0a747b9e1dea329ab30e19a70569a7c1dc647342b46ebd164b9,100
23,10240,32,1,010ff2e543aca5ad032f57eae0091d4e,dc7561cbd207b8bfb8174930fd6931ebe9bb492283963bd8b0bf6525c0861c17,106
24,10240,32,1,ac6b8307c6a0a59ec28de92c52c441ac,bbd38779808f35d43b13720c7af61f9374419d6010b5c7e4816859769ea5d4f2,110
25,10240,32,1,34af4ae0f5df19bf3bd2c04ee1b3cf1e,b3ecf995026efaa05391ee91c9b4511891ff029aae751b386b3a4f82d92a990e,114
26,10240,32,1,45301b8c0bbd95a8853f3626703d2aa1,0f0251b8dc92048752499da985ab11e2c85ea120c6afbb462fe57101e1ebb224,119
27,10240,32,1,1a7c5f81d5220a8603c272576dc8c27c,510aedb5a6186e824bf166e992d367fe361866593426c84f2508b776bc1a08bb,123
28,10240,32,1,c938ac5146af82ad51c3cdfc77f4a743,654a19732dd8b479c3e970cb850504b90b9669a38c7b77996a13710edbf63628,128
29,10240,32,1,d7ebdf0eb3f93bf6f038eea91533d0eb,8ebd7061cba56d8900bc5889fecc298d4c6ffa4155f3c5008cf0cd26ddf2696f,135
30,10240,32,1,13c80cbab6fa35bb9104217054f53e7e,0c3169d76e8065deb992cb77793e4f2950a2870c7a6c9c6552f3821a337a7505,137
4,20480,32,1,43075d189871359fa957f715c1027c50,66ba8a81aa54f63594d5ba46d32d3d26df34f4e19f1048239e44360e90533275,42
5,20480,32,1,5923fbcb5640bfcb0b6c54f55201374a,2c7f2aecbb2d1a64a24e8d2c797e4a4b0c20523b5fa00f10cbb4794697999b44,54
6,20480,32,1,34bc84a682009d50627723a05bc3bd12,e6393c021e33fd75c987603b6054738602146bfc1616c7dd3039b781b5982c43,62
7,20480,32,1,a6ff89283bacd1e5a2ad60f48d9e35d5,8d7b108ad3165c0579524792337a27d949531af842d65b743dfe9be4f2cb127f,72
8,20480,32,1,5650225a5003b4b7b7b4ebb5bcdd6957,e81a7fdfeddb2f611224d1175668d0c951166e3211a2d99f33044a56f118839f,81
9,20480,32,1,1f7b0179137873ad23c1dae6b274a66b,a3b9973bc32f32c726c26a55821511877b9b2a37dc4fcc9e54456ac3de4570c2,93
10,20480,32,1,ebcd67212c9d178c52677a1d0e98c04f,bc64c529f4c7fd6be59b42966446d47e89c04c0f3c18e13a660dcad8d20eccc9,102
11,20480,32,1,87c5bd2c8cb845d06b3d701756adb2d2,b2018873a814c0db2fdf689739539e0b34aa3d6b20e4fb1fcb2cbe8ed91719e7,111
12,20480,32,1,1c9c827dd661e7673a1fc635c6b79091,883014782f628bb31e386404e0f46c56d1590d83bcea3ec60914e0ab27cdda6e,123
13,20480,32,1,46d11114ec2628449cb85a4b720e79df,0871d0a16e1040405e3a60402a2331033cb0010a44e4a1c6f0ef9fd9e22eefef,132
14,20480,32,1,73c47c609daec9def338d1675135adf6,ce4ff260bd8e0fb2b02d9005739e21d028fc87fa8cfcf23baff4ed7314d5d55e,138
15,20480,32,1,2deaa84135fa05e61bb1b23e4154ae06,29282a83c4dfbf2421234e2bc4225f77488f67047b292fe365f0af2503a9b3ab,151
16,20480,32,1,66aa45a2ee14d4ff505f2c602b542635,6b5e9ded40e32f37ce10a72896ad87a18644625857a566a20b44fe8f22a94eae,161
17,20480,32,1,d3d76dc7b35c1f9fe28bc633de6d167b,ecf3911a650eb76dc1751c29521ee4173121ab8eeb4fbdc54dcfae4e2cbe52b8,168
18,20480,32,1,c1dba1e87afd29ef516a5743495223e3,d9228061a0f98a2e0b810aa3b38361e867f81aa6c829ec0b3497b1b972a7914e,180
19,20480,32,1,88fa69aa00ed1a1425bd032ca487c0c4,145cffc80b1e6d1d9d91d4f9d051aec8a16734b480bfa498505a293aacb20efd,190
