WORK_FACTOR,SALT,HASH,TIME
4,d47f1cdfaddb65e6aa25fbbe0d6b188e,741f0af04f0f5feb477c58bf91167371f3295291feddd80f,149
5,ae6f24b873b0136d24bce51eac3f1bdf,4ee4f817dbeb2c765bd63ea39291389b28e6e42a9d65d8de,3
6,167e4445444e48127470533e6031e702,7c407899073a37f2f1d53b0a07c6e6e052dd4d1fb1c55a91,6
7,23a986cc3bae3de17da33da2060b718d,b5d30e419245f69c8a5a405f55d0de34a27453fd01a4ddd3,13
8,90e777a46f1cca9a9376c6025774751b,7d1649106fbec0ba032ffec9e706be0c9223762b836820fa,19
9,a5dedf7631975ad40944e55a3633010a,421cef7a26c86d9bf8d5566ab9cd9d7f18f8e70a0fa3bad7,37
10,7754bd8772061b9c5e2be8f11912f175,25112d5a8ed870646852c049d0af67d22a298a665e5b2d38,73
11,1974ed9371176a35b9cf47c3e233a19a,d1f20f0a1a829b4a2585072768e7ec454bb8da274d072cea,146
12,15c7fb9a2720b065cdb1c1552f906c5a,ebe2a16900ab1ee80905d877092923cfc4ad9a1fdee4aee4,292
13,a7b2b9a4fb82210f1ea62b12e8f38e2e,f93a6103ac9ad235a295dc5199456168555a00512e9ed201,582
14,fc1f8a95010c8ac57f66145a8a9df2f2,5adc591ca9563339a47993a467466bd34950037010a964da,1166
15,a8d4117699df9de78823e9ba4638482e,7c9abcb922ceed1a6a1d8b96e5ca02a36ebb8d13fb02005e,2345
16,e254857becc6914d8c45c4069c87230f,c459861707233c4212e43cf52ae6ea913e6ddbd12ef33dd6,4711
17,decaf10a310f4dd2d76132781761f827,d8f0a511d0a5a655e0401c50cbc9e4bca3a5f1b8fc58fe73,9465
18,4b4340ea392dfcaea39860612064944c,45f80cc0fb74b9bbf18cd1774e8fdfc4d3e7609e22b2383d,18860
19,99e150015935450481992750cd491ec7,5cf78da309105d42ff3a36ba5ba7e733c2af91416c89439c,37976
20,2d5f026185b13f81bbab61bbf91ae54f,82fa57c8fde1f9c8685bdf1bf1207ab38e78269f03bca9c1,74962
21,3e3ad85b455b355fdf8f0afc5ede08ec,803370a558637b75376476d22b940a355a1fbb9e71ef8a72,149553
22,aa61ea2c5b9d3e4ec3713f3aa9898ee6,61b79c791f4836a5c9dc5f62997b28378e96adde80c7499e,298977
