Work Factor,Time
0,21.333333333333332
1,0.0
2,0.3333333333333333
3,0.3333333333333333
4,0.3333333333333333
5,0.6666666666666666
6,1.0
7,2.6666666666666665
8,1.0
9,2.6666666666666665
10,2.6666666666666665
11,6.0
12,6.333333333333333
13,8.0
14,9.333333333333334
15,14.333333333333334
16,23.0
17,36.333333333333336
18,67.66666666666667
19,118.0
20,224.33333333333334
21,461.3333333333333
22,890.6666666666666
23,1804.6666666666667
24,3562.3333333333335
25,7204.0
26,14336.0
27,28630.666666666668
28,57524.333333333336
29,115628.0
30,249080.66666666666
