WORK_FACTOR,HASH,TIME
0,bed4efa1d4fdbd954bd3705d6a2a78270ec9a52ecfbfb010c61862af5c76af1761ffeb1aef6aca1bf5d02b3781aa854fabd2b69c790de74e17ecfec3cb6ac4bf,16
1,b335d77abf42f6da1b6d0864129fa176c7c499b70c389b273e719473e5f029f54b9b8914e96a6585db2f16c987e6b988e78a0e497bbe8bc88d62df0eb81b7010,0
2,18609add0dd9598ff29f53f21b90e2d6abc8680f50673ef628da491a91e0ea773bea0726ac78748ea0a1c9f2327938e7041c2d0d6ebb7428d003899f3926bedd,1
3,4359a0a0f0a45894e5972ac10e5614920f696d1ed04a11d1b3888053117db5e420193887cb27338f2122d7523cb42e0e931fa8633378cef90ef4b6f50aa0c6ae,0
4,a152effdedb4fd36482aeecee9b93c92f97e14980f8939129978cf02e11daaa548afef8825fc90ba63440c1faa7aba15b21db8707920451cc05f057a184d401f,0
5,569d393066ccca33c0a4c804f10f470134eab11b3b2657427fa98cc5f368156623b8f8a71d9bedc7ae27548ad8992eed7e9644caf3e6f1160ee5e54777af90a9,1
6,788fe212a9112a15ce5a292da96fafc561ad3d13bc2caf4b6c0865121cf64bc5798835190adaa9aaa10e74cb8e77a59ff9eb017b79cc92baba74144aa5802d71,1
7,eb5abd441ea077040b0dbae03d91660b0689ac2fa0c5c47be1f492464de9e602be44ef765dcc3309b0d063ff2a2dbb5500b7cad7cff4ea72e8d021cd062646c4,3
8,25466ffe633da4fe6e8d5c47e6a5e00db91d3518bc5f933695e562376dee06c1842cd908a473a0a2f1b1dd62e5a271b7c30400fc657153e8fc40a2c2628faa4c,1
9,ce22e758d14522f8360ef687f120eea0f4a5f19db28302d62cab8c4c33072b562080aa88e72e334e13f03183c014915abd1c6a9f28527032adb533a68a8c1674,3
10,99cb39e0f6252e76e2392096b44268d3c13fd059f50a978ed21fe27ec7430facd904695cb53abfaabe7d82198747fdbb7a89627a802f01f330d8d187089434e7,3
11,ad781aa515fb8c8926e26334089f61dccdd57d7bc83d359d817b95d7bb69233246c1f540a55f338eb88b4c935e9c028a85b0b3b58f410205f09848c022d14e8b,6
12,e13ab9ff0a5956dbb16c3692ed54d8172b94c2a9687b0fa80dee7199e2924284857366eb8d678a6f9a94a79d6676fe33a91454e70a996d2816012d05dc8f9420,6
13,c5f04de3dfceca9dcd42cc1c157ec5c736aa0f5b4831eb1ac3a4d6703730c633395efe520b49e22360021fc83b2a8a94e4fd07de1fb8ff304c80d57fd5344ed4,9
14,742a525d2abd4d665dbdacbcce7ce8582c4bfb0f90a016bfb67cbcee941447f74d395607e77b9c9171a7a5d863df583a0a1a7d5fc0ccab9d1b36c69019ce1591,9
15,f77e5cc4f70a0108cda8e1e2ff7ac242c83c77c13359129ddc2b864cbe89818178827f6322249c243a1dde2d23503a22f720ed2c2a52a80ed99f7e3253d55929,16
16,c2e805deea819df09d180b8a635e55d7269ca6eb99b51574ea1b9a1b8e24fb51fb8da3bba9e888f0af6d7b08a718904c8ac7d12f054b52896ea76b83eef37602,21
17,2cb7cbf81703ae4b5e9bcaf2bb7d15c6f9c0491dbe3d48af575be54957c79fd68f6be0d0f04e782f892cf74f63b20266dc4fb2bb3e73f3bf7836e3df46e51a39,34
18,7540714c3cab4fdfebb26605f66386dcad68a239de3b976cd72350573abc663f7c018a9353bffdf648ee424d9134415028e28851faec23e276f85db49c0f799a,66
19,8f6a71fac41eb4656987428a37de79e6fa09cbb6652175a9e53f848675418497fdae07d31728e828bbeb978ff79ae57a5bd3680afc54de5f15b2ca2d1555beda,117
20,b583c887f52307e2b8341d7d6ffaa2805eb35bb3ec5639ad5482bedf4b20c275812320404196b3357c80f0003ef933d5970f9857ce301806740ab15fa6c8e57c,225
21,1cfb54aa4027958fd98123f1d65780833555d101823bdad8c60dfd7f6f9bf6e2307beb33522196351adee99ae82171224c3b1f94061521d1ae626269451f8386,456
22,4cddc70bf91721682f1210a72ff4bd982b98aacb7f2572e047a1d3a438501c62d9c0dd72b27ec57b53ffa7896606b80f63a28a2689c0bd280233421f1526e4bb,887
23,ea8a03ecce858b91117470ce797f0aaea50f76d2e750f477ad7e7ff54b3d5a71ec9efd3deeff6c978dfbe4fada7205652a512e4db3f670af38c83636f4802396,1808
24,28c2920ac23283f3ced4866544e532abd4cd43e76f1f33c86b7958c3b58b27673c57bc9acf15746d1f10229c2e42ab52cc9a7e1fa2b72d37ac9211185dbffd82,3547
25,1d657d6a7d81772666ce90ef8ea00469e880f57d1e130194f3a0c102eea9f902da9de2af67247dbcee7bf39bc44a66a2fb17e1e8130ce1b8bab1250a0cd98954,7136
26,aac7ba6b42cbeb894fa3448cd409b33023922f5206aab46eac08dd1eaa600c550351e538289e10d5c79de59b4004d995dbbaee8a1715e812ac8b3053ec54f5c6,14193
27,63761f9926fbb00e6826a7023331eb12d85b7ee5e1046dd5e4d8c837e51c578c6b65c3bf189f745eaa9b54aea44d7e020e7715c21f5a95bdde5ee2a75c40e322,28372
28,5a6c12e6da961ed7bc7fa692facc5e357aa797f2cd0e8f7366ba7e4f2f9673272fc20d9c683fac6038aeff43cf875f68096d5465bad0cee05183e4b48ffe771f,56806
29,a6714943f82e8f45044341df5a593ae63364e623fc5f70338fa2ed7a614bdafdd86d0e665e5dc81ab1b6bb693654f0d0d7697669afa10fc43ce2f596b3fb7151,113617
30,576d84285db5c42e6bb835365c8ce87dd5d67a12478f13c80577c0fc964aba6541b3a5cf185791970d5429a454b6a9a949033fa37ccd70f9e93529c68771f6dc,227290
