Work Factor,Time,Device
0,21.333333333333332,pc
1,0.0,pc
2,0.3333333333333333,pc
3,0.3333333333333333,pc
4,0.3333333333333333,pc
5,0.6666666666666666,pc
6,1.0,pc
7,2.6666666666666665,pc
8,1.0,pc
9,2.6666666666666665,pc
10,2.6666666666666665,pc
11,6.0,pc
12,6.333333333333333,pc
13,8.0,pc
14,9.333333333333334,pc
15,14.333333333333334,pc
16,23.0,pc
17,36.333333333333336,pc
18,67.66666666666667,pc
19,118.0,pc
20,224.33333333333334,pc
21,461.3333333333333,pc
22,890.6666666666666,pc
23,1804.6666666666667,pc
24,3562.3333333333335,pc
25,7204.0,pc
26,14336.0,pc
27,28630.666666666668,pc
28,57524.333333333336,pc
29,115628.0,pc
30,249080.66666666666,pc
0,0.3333333333333333,android
1,0.3333333333333333,android
2,1.0,android
3,0.3333333333333333,android
4,1.0,android
5,1.0,android
6,1.6666666666666667,android
7,2.3333333333333335,android
8,4.666666666666667,android
9,9.666666666666666,android
10,14.333333333333334,android
11,25.666666666666668,android
12,60.666666666666664,android
13,107.0,android
14,203.0,android
15,363.6666666666667,android
16,689.6666666666666,android
17,1360.6666666666667,android
18,2516.3333333333335,android
19,2516.6666666666665,android
20,3373.0,android
21,6319.333333333333,android
22,12540.666666666666,android
23,25363.333333333332,android
24,55227.666666666664,android
25,120625.66666666667,android
26,264222.6666666667,android
